source_dataset,source_category,urbaneye_category,confidence,notes
chicago311,Water On Street Complaint,WATER_LEAKAGE_WATERLOGGING,high,
chicago311,Open Fire Hydrant Complaint,WATER_LEAKAGE_WATERLOGGING,medium,
chicago311,Sidewalk Inspection Request,FOOTPATH_DAMAGE,high,
chicago311,Rodent Baiting/Rat Complaint,OUT_OF_SCOPE,high,"360908 rows - public health"
chicago311,Abandoned Vehicle Complaint,OUT_OF_SCOPE,high,"312633 rows"
chicago311,Building Violation,OUT_OF_SCOPE,high,"158130 rows - code enforcement on private buildings"
chicago311,Blue Recycling Cart,OUT_OF_SCOPE,high,
chicago311,Dead Animal Pick-Up Request,OUT_OF_SCOPE,high,
chicago311,Water Lead Test Kit Request,OUT_OF_SCOPE,high,
chicago311,311 INFORMATION ONLY CALL,OUT_OF_SCOPE,high,"4921249 rows - excluded server-side at download time"
chicago311,Aircraft Noise Complaint,OUT_OF_SCOPE,high,"2389257 rows - excluded server-side at download time"
# ---------------------------------------------------------------------------
nyc311,Street Condition,ROAD_DAMAGE,high,"964673 rows; Descriptor 'Pothole' (585045) overrides to POTHOLE - see subcategory rule"
nyc311,Street Condition|Pothole,POTHOLE,high,"585045 rows - NYC puts potholes in the Descriptor, not the Complaint Type"
nyc311,Street Light Condition,STREETLIGHT_FAULT,high,"914827 rows"
nyc311,Traffic Signal Condition,TRAFFIC_SIGNAL_FAULT,high,"434609 rows"
nyc311,Sewer,DRAINAGE_SEWER,high,"361697 rows"
nyc311,Sewer Backup (Use Comments),DRAINAGE_SEWER,high,
nyc311,Root/Sewer/Sidewalk Condition,REVIEW_REQUIRED,low,"conflates three different UrbanEye+ categories in one label - unresolvable without Descriptor"
nyc311,Water System,WATER_LEAKAGE_WATERLOGGING,medium,"648140 rows - REVIEW: includes hydrants, water quality, and leaks"
nyc311,Dirty Conditions,GARBAGE_DUMPING,medium,"348777 rows"
nyc311,Illegal Dumping,GARBAGE_DUMPING,high,
nyc311,Missed Collection (All Materials),OUT_OF_SCOPE,medium,"service failure, not a civic defect"
nyc311,Sweeping/Missed,OUT_OF_SCOPE,medium,
nyc311,Sidewalk Condition,FOOTPATH_DAMAGE,high,
nyc311,Curb Condition,FOOTPATH_DAMAGE,medium,
nyc311,Damaged Tree,FALLEN_TREE,high,
nyc311,Dead Tree,FALLEN_TREE,medium,
nyc311,Overgrown Tree/Branches,FALLEN_TREE,low,"REVIEW: obstruction rather than fallen"
nyc311,Graffiti,GRAFFITI_VISUAL_POLLUTION,high,
nyc311,Street Sign - Damaged,SIGNAGE_DAMAGE,high,
nyc311,Street Sign - Missing,SIGNAGE_DAMAGE,high,
nyc311,Street Sign - Dangling,SIGNAGE_DAMAGE,high,
nyc311,Highway Condition,ROAD_DAMAGE,high,
nyc311,Bridge Condition,PUBLIC_INFRASTRUCTURE_DAMAGE,high,
nyc311,Broken Muni Meter,PUBLIC_INFRASTRUCTURE_DAMAGE,medium,
nyc311,Derelict Vehicles,OUT_OF_SCOPE,high,
nyc311,Noise - Residential,OUT_OF_SCOPE,high,"1810072 rows"
nyc311,HEAT/HOT WATER,OUT_OF_SCOPE,high,"1236353 rows - housing"
nyc311,Blocked Driveway,OUT_OF_SCOPE,high,
nyc311,Illegal Parking,OUT_OF_SCOPE,high,
nyc311,UNSANITARY CONDITION,OUT_OF_SCOPE,high,"housing interior"
nyc311,GENERAL CONSTRUCTION,OUT_OF_SCOPE,medium,"REVIEW: DOB building construction, not road obstruction"
# ---------------------------------------------------------------------------
# Boston REASON vocabulary. Boston's exact REASON value list could NOT be read
# from the portal (the CSVs were unreachable from the build environment), so
# these are the values observed in published column dumps only. Treat this block
# as INCOMPLETE - process_boston311.py will report every unmapped REASON/TYPE
# with counts on first real run.
boston311,Street Lights,STREETLIGHT_FAULT,high,"observed in published column dump"
boston311,Sanitation,GARBAGE_DUMPING,medium,"REVIEW: broad; TYPE-level split needed"
boston311,Highway Maintenance,ROAD_DAMAGE,medium,"REVIEW: TYPE-level split needed (potholes vs general)"
boston311,Signs & Signals,REVIEW_REQUIRED,low,"conflates SIGNAGE_DAMAGE and TRAFFIC_SIGNAL_FAULT in one REASON"
boston311,Trees,FALLEN_TREE,low,"REVIEW: includes routine maintenance"
boston311,Street Cleaning,OUT_OF_SCOPE,medium,
boston311,Code Enforcement,OUT_OF_SCOPE,medium,
boston311,Enforcement & Abandoned Vehicles,OUT_OF_SCOPE,high,
boston311,Street Light Outages,STREETLIGHT_FAULT,high,"TYPE-level value"
boston311,Requests for Street Cleaning,OUT_OF_SCOPE,medium,"TYPE-level value"
boston311,Schedule a Bulk Item Pickup,OUT_OF_SCOPE,medium,"TYPE-level value"
boston311,Parking Enforcement,OUT_OF_SCOPE,high,"TYPE-level value"
# ---------------------------------------------------------------------------
# VISION CLASS MAPPING - image datasets. These do NOT join to incidents; they
# share only the taxonomy. See README "No fake row-level image joining".
rdd2022,D00,ROAD_DAMAGE,high,"longitudinal crack"
rdd2022,D10,ROAD_DAMAGE,high,"transverse crack"
rdd2022,D20,ROAD_DAMAGE,high,"alligator crack"
rdd2022,D40,POTHOLE,high,"pothole"
rdd2022,D43,REVIEW_REQUIRED,low,"crosswalk blur - faded road marking. Arguably SIGNAGE_DAMAGE but signage usually means posts/boards, not paint. Present only in some country subsets."
rdd2022,D44,REVIEW_REQUIRED,low,"white line blur - same ambiguity as D43"
rdd2022,D50,REVIEW_REQUIRED,none,"manhole cover. CRITICAL: this class marks the PRESENCE of a cover, not a MISSING or OPEN manhole. It must NOT be mapped to OPEN_MANHOLE. Doing so would invert the label's meaning."
smartathon,POTHOLES,POTHOLE,high,
smartathon,GARBAGE,GARBAGE_DUMPING,high,"~8597 instances - dominant class"
smartathon,CONSTRUCTION_ROAD,CONSTRUCTION_OBSTRUCTION,high,
smartathon,CLUTTER_SIDEWALK,FOOTPATH_DAMAGE,medium,"REVIEW: obstruction of footpath rather than damage to it. Consider a FOOTPATH_OBSTRUCTION split later."
smartathon,GRAFFITI,GRAFFITI_VISUAL_POLLUTION,high,
smartathon,BAD_BILLBOARD,GRAFFITI_VISUAL_POLLUTION,medium,"visual pollution family"
smartathon,FADED_SIGNAGE,SIGNAGE_DAMAGE,high,"~107 instances - too few to train on alone"
smartathon,BROKEN_SIGNAGE,SIGNAGE_DAMAGE,high,"~83 instances - too few to train on alone"
smartathon,BAD_STREETLIGHT,STREETLIGHT_FAULT,high,"~1 instance in the released train set. UNUSABLE as a class. Flagged by validation."
smartathon,SAND_ON_ROAD,CONSTRUCTION_OBSTRUCTION,low,"REVIEW: desert-specific hazard with no Indian analogue. Consider OUT_OF_SCOPE."
smartathon,UNKEPT_FACADE,PUBLIC_INFRASTRUCTURE_DAMAGE,low,"REVIEW: ~127 instances; building facade, usually private property"
